id,lat,long
903,27.58333333,84.53333333
904,27.55,85.13333333
905,27.6,85.08333333
906,27.41666667,85.05
907,27.28333333,85
909,27.16666667,84.98333333
910,27.18333333,85.16666667
911,27.06666667,84.96666667
912,27.01666667,85.38333333
915,27.61666667,85.15
918,27,84.86666667
919,27.41666667,85.16666667
920,27.55,84.81666667
921,27.03333333,85
922,26.76666667,85.3
924,26.95,85.13333333
1001,28.28333333,85.38333333
1002,28.05,84.81666667
1004,27.91666667,85.16666667
1005,27.86666667,84.93333333
1006,27.86666667,85.86666667
1007,27.8,85.25
1008,27.8,85.61666667
1009,27.78333333,85.71666667
1015,27.68333333,85.2
1016,27.95,85.6
1017,27.86666667,85.56666667
1018,27.78333333,85.56666667
1020,27.7,85.65
1022,27.58333333,85.4
1023,27.63944444,85.705
1024,27.61666667,85.55
1027,27.78861111,85.9
1028,27.56666667,85.75
1029,27.66666667,85.33333333
1030,27.7,85.36666667
1035,27.75,85.48333333
1036,27.65333333,85.62111111
1038,27.72311111,85.16416667
1039,27.73333333,85.33333333
1043,27.7,85.51666667
1049,27.5725,85.52833333
1052,27.66666667,85.41666667
1054,28.16666667,85.31666667
1055,28.1,85.3
1057,28.01666667,85.11666667
1058,28,85.55
1059,27.7,85.41666667
1060,27.6,85.33333333
1061,27.65,85.38333333
1062,27.68388889,85.70666667
1063,27.7,85.78333333
1071,27.77666667,85.35833333
1073,27.63333333,85.28333333
1074,27.76666667,85.41666667
1075,27.58333333,85.28333333
1076,27.68333333,85.25
1077,27.75,85.41666667
1078,27.9,85.63333333
1079,27.75,85.25
1080,27.65,85.35
1081,27.78333333,85.28333333
1082,27.65,85.46666667
1083,27.78333333,85.4
1101,27.68333333,86.1
1102,27.66666667,86.05
1103,27.63333333,86.23333333
1104,27.51666667,86.05
1106,27.31666667,86.08333333
1107,27.28333333,85.96666667
1108,27.18333333,86.16666667
1109,27.08333333,85.66666667
1110,27.03333333,85.91666667
1111,26.71666667,85.96666667
1112,26.91666667,86.16666667
1114,26.8,85.98333333
1115,27.45,85.81666667
1117,27.33333333,85.5
1118,26.88333333,85.41666667
1119,26.88333333,85.78333333
1120,26.86666667,85.56666667
1121,27.11666667,85.46666667
1202,27.7,86.71666667
1203,27.43333333,86.56666667
1204,27.35,86.75
1206,27.31666667,86.5
1207,27.48333333,86.41666667
1210,27.13333333,86.43333333
1211,27.03333333,86.83333333
1212,26.73672222,86.93138889
1213,26.93333333,86.51666667
1215,26.73277778,86.47694444
1216,26.65611111,86.21166667
1219,27.5,86.58333333
1220,27.48333333,86.61666667
1222,27.21666667,86.8
1223,26.80083333,86.69861111
1224,27.55,86.38333333
1226,26.59527778,86.9
1301,27.55,87.28333333
1303,27.29222222,87.31666667
1304,27.04638889,87.2925
1305,27.15333333,87.28916667
1306,27.05,87.24444444
1307,26.98333333,87.34583333
1308,26.93166667,87.31944444
1309,26.93333333,87.15
1311,26.79194444,87.28472222
1312,26.61666667,87.38333333
1314,27.12277778,87.53611111
1316,26.81666667,87.16666667
1317,27.76666667,87.41666667
1319,26.48333333,87.26694444
1320,26.69861111,87.27861111
1321,27.30111111,87.20416667
1322,26.96666667,87.16666667
1323,26.78333333,87.28333333
1324,27.18333333,87.05
1325,27.36666667,87.15
1403,27.55,87.78333333
1404,27.48333333,87.78333333
1405,27.35,87.66666667
1406,27.2,87.93333333
1407,26.90972222,87.92305556
1408,26.77055556,87.70333333
1409,26.625,87.98861111
1410,26.88333333,88.03333333
1411,26.8,87.9
1412,26.56388889,88.06138889
1415,26.68972222,87.98861111
1416,26.86805556,88.07833333
1419,27.14361111,87.75166667
1420,27.35,87.6
1421,26.65083333,87.86055556
